Category,Medal,Medalist,Country,Entry,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Premium Sparkling Cider,🥈 SILVER,Petritegi,Basque Country,Petritegi 1526 Reserva,87.2,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639
Premium Sparkling Cider,🥈 SILVER,Sidra Riestra,Spain,Guzman Riestra,86.7,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601
Premium Sparkling Cider,🥈 SILVER,Mooma,Spain,Sidra Ancestral Criança 75cl,86.5,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950
Premium Sparkling Cider,🥈 SILVER,Floribunda,Italy,Rosé Cider,85.2,https://www.floribunda.it/,,https://www.instagram.com/floribundacider/,https://maps.google.com/?cid=14548393953505771229,,https://untappd.com/w/floribunda/333615
Premium Sparkling Cider,🥈 SILVER,L'Aubinière,France,Cidre Cuvée Automne 2021,85.1,https://www.laubiniere.fr/,https://www.facebook.com/laubiniere/,https://www.instagram.com/laubiniere/,https://maps.google.com/?cid=3202157626582316196,,https://untappd.com/w/l-aubiniere/531046
Premium Sparkling Cider,🥈 SILVER,Sidra Alfa,Portugal,Espumante Alfa,84.7,https://sidraalfa.pt/,https://www.facebook.com/Sidralfa1/,https://www.instagram.com/sidra_alfa/,,,https://untappd.com/w/sidra-alfa/545661
Premium Sparkling Cider,🥈 SILVER,Sidra Viuda de Angelón,Spain,Prau Monga Sidra Natural Espumosa,81.3,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823
Premium Sparkling Cider,🥈 SILVER,Floribunda,Italy,Apfel Cider Alla Mela,80.9,https://www.floribunda.it/,,https://www.instagram.com/floribundacider/,https://maps.google.com/?cid=14548393953505771229,,https://untappd.com/w/floribunda/333615
Premium Sparkling Cider,🥈 SILVER,Weidmann & Groh,Germany,Grohsecco,80.9,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
Premium Sparkling Cider,🥈 SILVER,Sidra Trabanco,Spain,Poma Áurea,80.4,https://www.sidratrabanco.com/,https://www.facebook.com/sidratrabanco/,https://www.instagram.com/sidratrabanco/,https://maps.google.com/?cid=8706552013547802387,,https://untappd.com/brewery/6382
Premium Sparkling Cider,🥈 SILVER,Sidra El Gaitero,Spain,"Valle, Ballina y Fernandez",80,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
Premium Sparkling Cider,🥉 BRONZE,Apfelweinkontor,Germany,"German Cider 0,33",77.7,https://www.apfelweinkontor.com/,https://www.facebook.com/Apfelweinkontor,https://www.instagram.com/apfelweinkontor/,https://maps.google.com/?cid=599143855742456461,https://www.tripadvisor.com/Attraction_Review-g187337-d6922559,https://untappd.com/w/apfelweinkontor-frankfurt/468433
Premium Sparkling Cider,🥉 BRONZE,Ottercider,Belgium,Laatzomer,76.8,https://www.ottercider.be/,https://www.facebook.com/Ottercider,https://www.instagram.com/ottercider,,,https://untappd.com/Ottercider
Premium Sparkling Cider,🥉 BRONZE,Sidra Somarroza,Spain,Espumosa Seca Somarroza,75.7,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,https://untappd.com/w/somarroza/147830
Premium Sparkling Cider,🥉 BRONZE,Sidra La Naveta,Spain,La Naveta Brut,74.3,https://lanaveta.com/,https://www.facebook.com/profile.php?id=100063497946147,,https://maps.google.com/?cid=18265458060195810621,,https://untappd.com/w/la-naveta/288596
Premium Sparkling Cider,🥉 BRONZE,Cydrownia Zywer,Poland,Crocels 2022,72.9,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer
Premium Sparkling Cider,🥉 BRONZE,Cydrownia Zywer,Poland,Brus 2022,72.5,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer
Premium Sparkling Cider,🥉 BRONZE,Sidra La Naveta,Spain,La Naveta Roxa,72.3,https://lanaveta.com/,https://www.facebook.com/profile.php?id=100063497946147,,https://maps.google.com/?cid=18265458060195810621,,https://untappd.com/w/la-naveta/288596
Premium Sparkling Cider,🥉 BRONZE,Nua Cider,Portugal,Nua #2 - Pet Nat Cider,71.8,https://www.nuacider.com/,https://www.facebook.com/cidernua/,https://www.instagram.com/CiderNua,,,https://untappd.com/w/nua-cider/462924
Premium Sparkling Cider,🥉 BRONZE,Sidra Somarroza,Spain,Rubí de Somarroza,71.7,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,https://untappd.com/w/somarroza/147830
Premium Sparkling Cider,🥉 BRONZE,Weidmann & Groh,Germany,Dicke Berta Pet Nat,71,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
Premium Sparkling Cider,🥉 BRONZE,Sidra Trabanco,Spain,Lagar de Camín Brut Premium,71,https://www.sidratrabanco.com/,https://www.facebook.com/sidratrabanco/,https://www.instagram.com/sidratrabanco/,https://maps.google.com/?cid=8706552013547802387,,https://untappd.com/brewery/6382
