Year,Style,Medal,Producer,Region,Product,Points,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2021,Natural Asturian Cider,🥈 Silver,Sidra Fran,Asturias,Ramos del Valle,41,Active,"<a href=""https://sidrafran.es/"">Website</a>",,"<a href=""https://www.instagram.com/sidrafran1918/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15672106953833908893"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidra-fran/85954"">Untappd</a>"
2021,Natural Asturian Cider,🥈 Silver,Sidra Menéndez,Asturias,Sidra natural D.O.P.,38,Active,"<a href=""https://www.sidramenendez.com/"">Website</a>","<a href=""https://www.facebook.com/sidramenendez/"">Facebook</a>","<a href=""https://www.instagram.com/sidra_menendez/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17564685525851225222"">Google</a>",,,"<a href=""https://untappd.com/w/sidra-menendez/55771"">Untappd</a>"
2021,Natural Asturian Cider,🥉 Bronze,Sidra Piñera,Asturias,Piñera,37,Active,"<a href=""https://www.sidrapinera.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapinera/"">Facebook</a>","<a href=""https://www.instagram.com/sidrapinera/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3226166040134745626"">Google</a>",,,
2021,Natural Asturian Cider,🥉 Bronze,Angry Orchard,United States,Edu,36,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2021,Natural Asturian Cider,🥉 Bronze,Sidra Trabanco,Asturias,Sidra Trabanco tradicional,35,Active,"<a href=""https://www.sidratrabanco.com/"">Website</a>","<a href=""https://www.facebook.com/sidratrabanco/"">Facebook</a>","<a href=""https://www.instagram.com/sidratrabanco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8706552013547802387"">Google</a>",,,"<a href=""https://untappd.com/brewery/6382"">Untappd</a>"
2021,Natural Asturian Cider,🥉 Bronze,Sidra Piñera,Asturias,Piñera DOP,35,Active,"<a href=""https://www.sidrapinera.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapinera/"">Facebook</a>","<a href=""https://www.instagram.com/sidrapinera/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3226166040134745626"">Google</a>",,,
2021,Natural Asturian Cider,🥉 Bronze,Sidra El Gaitero,Asturias,Pomarina Natural Tradicional,30,Active,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
2021,Traditional French Cider,🥇 Gold,Domaine de la Mare,France,L'Insoumis,46,Active,"<a href=""https://www.domainedelamare.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11844878661689216154"">Google</a>",,,"<a href=""https://untappd.com/w/domaine-de-la-mare/511923"">Untappd</a>"
2021,Traditional French Cider,🥇 Gold,Domaine de la Mare,France,Le Généreux,46,Active,"<a href=""https://www.domainedelamare.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11844878661689216154"">Google</a>",,,"<a href=""https://untappd.com/w/domaine-de-la-mare/511923"">Untappd</a>"
2021,Traditional French Cider,🥇 Gold,Eden Ciders,United States,Eden Semi Dry Methode Traditionelle,46,Active,"<a href=""https://www.edenciders.com/"">Website</a>","<a href=""https://facebook.com/edenspecialtyciders"">Facebook</a>","<a href=""https://www.instagram.com/edenciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1133141626652589768"">Google</a>","<a href=""https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348"">TripAdvisor</a>","<a href=""https://untappd.com/w/eden-specialty-ciders/13108"">Untappd</a>"
