Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2018,Ice Cider,Brännland Cider,"Brännland Iscider Lobo 2015 10,2%",🥉 Bronze,Active,Sweden,"<a href=""https://www.brannlandcider.se/"">Website</a>","<a href=""https://www.facebook.com/brannlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/brannlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2299367906990041003"">Google</a>",,
2018,Ice Cider,Cold Hand Winery,Malus Danica 2013 - Cuvee Essencia,🥉 Bronze,Active,Denmark,"<a href=""https://www.coldhandwinery.dk/"">Website</a>","<a href=""https://www.facebook.com/Cold-Hand-Winery-280396455326889/"">Facebook</a>","<a href=""https://www.instagram.com/cold_hand_winery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8847115036999398343"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g227594-d11638093"">TripAdvisor</a>"
2018,Low Alcohol Cider,Appie,Le Rosé,🥈 Silver,Active,France,,"<a href=""https://www.facebook.com/appiecidre/"">Facebook</a>","<a href=""https://www.instagram.com/appie.cidre/"">Instagram</a>",,,
2018,Low Alcohol Cider,Les Celliers Associés,Galipette Cidre Biologique,🥈 Silver,Active,France,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>","<a href=""https://www.instagram.com/lca_coop_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,
2018,Low Alcohol Cider,Les Celliers Associés,L'Authentique French Cider Doux,🥈 Silver,Active,France,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>","<a href=""https://www.instagram.com/lca_coop_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,
2018,Low Alcohol Cider,Nikka Cidre,Nikka Cidre Rose,🥉 Bronze,Active,Japan,"<a href=""https://www.asahibeer.co.jp/cidre/"">Website</a>",,,,,
2018,Low Alcohol Cider,Les Celliers Associés,Galipette Cidre Brut,🥉 Bronze,Active,France,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>","<a href=""https://www.instagram.com/lca_coop_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,
2018,Naturally Sparkling Cider,Loïc Raison,"Breton Cidre, Loic Raison Doux",🏆 Supreme Champion,Active,France,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,
2018,Naturally Sparkling Cider,Chalkdown Cider,Chalkdown Cider,🏆 Trophy,Active,England,"<a href=""https://www.chalkdowncider.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100067114172045"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7857527085025336297"">Google</a>",,
2018,Naturally Sparkling Cider,Calvados Pierre Huet,6Somewhere La Douleur Exquise,🥇 Gold,Active,France,"<a href=""https://www.calvados-huet.com/"">Website</a>","<a href=""https://www.facebook.com/calvadosph/"">Facebook</a>","<a href=""https://www.instagram.com/calvadospierrehuet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11210783185501022788"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g672825-d4991781"">TripAdvisor</a>"
2018,Naturally Sparkling Cider,Angry Orchard,Dear Brittany,🥇 Gold,Active,United States,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>"
2018,Naturally Sparkling Cider,Calvados Pierre Huet,6Somewhere Afternoon Delight,🥈 Silver,Active,France,"<a href=""https://www.calvados-huet.com/"">Website</a>","<a href=""https://www.facebook.com/calvadosph/"">Facebook</a>","<a href=""https://www.instagram.com/calvadospierrehuet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11210783185501022788"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g672825-d4991781"">TripAdvisor</a>"
2018,Naturally Sparkling Cider,Cidre Le Brun,Cidre Le Brun Brut,🥈 Silver,Active,France,"<a href=""https://cidrelebrun.com/"">Website</a>",,"<a href=""https://www.instagram.com/cidrelebrun"">Instagram</a>","<a href=""https://maps.google.com/?cid=5387381455239409930"">Google</a>",,
2018,Naturally Sparkling Cider,Calvados Pierre Huet,6Somewhere Coup De Foudre,🥉 Bronze,Active,France,"<a href=""https://www.calvados-huet.com/"">Website</a>","<a href=""https://www.facebook.com/calvadosph/"">Facebook</a>","<a href=""https://www.instagram.com/calvadospierrehuet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11210783185501022788"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g672825-d4991781"">TripAdvisor</a>"
2018,Naturally Sparkling Cider,Cidre Le Brun,Cidre Le Brun Organic,🥉 Bronze,Active,France,"<a href=""https://cidrelebrun.com/"">Website</a>",,"<a href=""https://www.instagram.com/cidrelebrun"">Instagram</a>","<a href=""https://maps.google.com/?cid=5387381455239409930"">Google</a>",,
2018,Naturally Sparkling Cider,Marks & Spencer,Breton Cider,🥉 Bronze,Active,England,"<a href=""https://www.marksandspencer.com/"">Website</a>","<a href=""https://www.facebook.com/MarksandSpencer/"">Facebook</a>","<a href=""https://www.instagram.com/marksandspencer/"">Instagram</a>",,,
