Year,Class,Medalist,Product,Country,Medal,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2017,Open Apple Class - Dry,Sidra Mayador,Natural Cider,Spain,🥇 Gold,2,0,0,2,2017,2021,2,Active,"<a href=""http://www.mayador.com/"">Website</a>","<a href=""https://www.facebook.com/sidramayadorcider"">Facebook</a>","<a href=""https://www.instagram.com/sidramayador/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6886369759358960464"">Google</a>",,,"<a href=""https://untappd.com/SidraMayador"">Untappd</a>"
2017,Open Apple Class - Medium,Mac Ivors Cider,Traditional Dry Cider,Northern Ireland,🥇 Gold,4,1,0,5,2013,2017,3,Active,"<a href=""https://macivors.com/"">Website</a>","<a href=""https://www.facebook.com/macivorsciderco"">Facebook</a>","<a href=""https://www.instagram.com/macivorscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11494220960590509719"">Google</a>",,,"<a href=""https://untappd.com/brewery/39281"">Untappd</a>"
2017,Open Apple Class - Medium,Tempted Cider,Tempted Medium Dry Cider,Northern Ireland,🥈 Silver,0,2,0,2,2017,2017,1,Active,"<a href=""https://www.temptedcider.com/"">Website</a>","<a href=""https://www.facebook.com/temptedcider/"">Facebook</a>","<a href=""https://www.instagram.com/temptedcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4479314919661417093"">Google</a>",,,"<a href=""https://untappd.com/brewery/25055"">Untappd</a>"
2017,Open Apple Class - Medium,Ramborn Cider Co.,Ramborn Original Medium Dry,Luxembourg,🥉 Bronze,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2017,Open Apple Class - Sweet,Mac Ivors Cider,Medium Cider,Northern Ireland,🥇 Gold,4,1,0,5,2013,2017,3,Active,"<a href=""https://macivors.com/"">Website</a>","<a href=""https://www.facebook.com/macivorsciderco"">Facebook</a>","<a href=""https://www.instagram.com/macivorscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11494220960590509719"">Google</a>",,,"<a href=""https://untappd.com/brewery/39281"">Untappd</a>"
2017,Open Apple Class - Sweet,Bulmers,Strongbow Gold Apple,England,🥈 Silver,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
2017,Open Apple Class - Sweet,Briska,Briska Appelcider,Sweden,🥉 Bronze,0,0,2,2,2015,2017,2,Active,"<a href=""https://briska.se/"">Website</a>","<a href=""https://www.facebook.com/BriskaCider/"">Facebook</a>","<a href=""https://www.instagram.com/briskaalkoholfri/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15346300786672996269"">Google</a>",,,"<a href=""https://untappd.com/SpendrupsBryggeri"">Untappd</a>"
2017,Pear / Pear Cider,Collective Arts Brewing,Pear Saison Cider,Canada,🥇 Gold,1,0,0,1,2017,2017,1,Active,"<a href=""https://collectiveartsbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/collectiveartsbrewing"">Facebook</a>","<a href=""https://www.instagram.com/collectivebrew/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9920654321167470617"">Google</a>","<a href=""https://www.yelp.com/biz/collective-arts-brewing-hamilton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g154990-d10341672"">TripAdvisor</a>","<a href=""https://untappd.com/w/collective-arts-brewing/76841"">Untappd</a>"
2017,Fruit Flavoured Cider,Mac Ivors Cider,Plum & Cinger Cider,Northern Ireland,🥇 Gold,4,1,0,5,2013,2017,3,Active,"<a href=""https://macivors.com/"">Website</a>","<a href=""https://www.facebook.com/macivorsciderco"">Facebook</a>","<a href=""https://www.instagram.com/macivorscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11494220960590509719"">Google</a>",,,"<a href=""https://untappd.com/brewery/39281"">Untappd</a>"
2017,Fruit Flavoured Cider,Tempted Cider,Tempted Elderflower Cider,Northern Ireland,🥈 Silver,0,2,0,2,2017,2017,1,Active,"<a href=""https://www.temptedcider.com/"">Website</a>","<a href=""https://www.facebook.com/temptedcider/"">Facebook</a>","<a href=""https://www.instagram.com/temptedcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4479314919661417093"">Google</a>",,,"<a href=""https://untappd.com/brewery/25055"">Untappd</a>"
2017,Fruit Flavoured Cider,Redwood Cider Co.,Old Mout Passionfruit & Cider,New Zealand,🥉 Bronze,2,0,1,3,2013,2021,3,Active,"<a href=""https://www.db.co.nz/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6996062561310556831"">Google</a>",,,"<a href=""https://untappd.com/w/redwood-cider-co/184117"">Untappd</a>"
2017,Other Flavours Cider,BlakStoc,Wild Tree Hoppy Cider,Austria,🥇 Gold,1,0,0,1,2017,2017,1,Active,"<a href=""http://www.blakstoc.com/"">Website</a>","<a href=""https://www.facebook.com/blakstoc/"">Facebook</a>","<a href=""https://www.instagram.com/blakstoc/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/blakstoc/236990"">Untappd</a>"
2017,Other Flavours Cider,Bulmers,Strongbow Elderflower,England,🥈 Silver,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
2017,Other Flavours Cider,Bulmers,Strongbow Honey,England,🥉 Bronze,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
2017,Low Alcohol Cider (1.2-3.5% ABV),Junginger Fruchtsäfte,Schwabi Apfel,Germany,🥇 Gold,1,1,1,3,2017,2019,2,Active,"<a href=""https://www.junginger-fruchtsaefte.de/"">Website</a>","<a href=""https://www.facebook.com/Fruchtsaefte.Junginger"">Facebook</a>","<a href=""https://www.instagram.com/junginger_fruchtsaefte/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18141945507458756869"">Google</a>",,,"<a href=""https://untappd.com/w/junginger-fruchsafte/243486"">Untappd</a>"
2017,Low Alcohol Cider (1.2-3.5% ABV),Junginger Fruchtsäfte,Schwabi Holunderblute (Elderflower),Germany,🥈 Silver,1,1,1,3,2017,2019,2,Active,"<a href=""https://www.junginger-fruchtsaefte.de/"">Website</a>","<a href=""https://www.facebook.com/Fruchtsaefte.Junginger"">Facebook</a>","<a href=""https://www.instagram.com/junginger_fruchtsaefte/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18141945507458756869"">Google</a>",,,"<a href=""https://untappd.com/w/junginger-fruchsafte/243486"">Untappd</a>"
2017,Low Alcohol Cider (1.2-3.5% ABV),Adam & Eva,Eva Cider (2.7% Alc),Germany,🥉 Bronze,0,0,1,1,2017,2017,1,Inactive,,,,,,,
2017,Specialty Cider,Hogan's Cider,Killer Sharp,England,🥇 Gold,3,3,1,7,2017,2024,4,Active,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,,"<a href=""https://untappd.com/brewery/27309"">Untappd</a>"
2017,Specialty Cider,Sheppy's Cider,Iwood Limited Edition,England,🥈 Silver,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
2017,Specialty Cider,Angry Orchard,The Old Fashioned,United States,🥉 Bronze,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2019,Tannic Cider - Dry,Pulpt,Union,England,🥇 Gold,1,0,0,1,2019,2019,1,Active,"<a href=""https://www.pulpt.co.uk/"">Website</a>","<a href=""https://www.facebook.com/pulptcider/"">Facebook</a>","<a href=""https://www.instagram.com/pulptcider"">Instagram</a>","<a href=""https://maps.google.com/?cid=6769290529103590363"">Google</a>",,,"<a href=""https://untappd.com/w/pulpt/406060"">Untappd</a>"
2019,Tannic Cider - Dry,Hogan's Cider,Killer Sharp,England,🥈 Silver,3,3,1,7,2017,2024,4,Active,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,,"<a href=""https://untappd.com/brewery/27309"">Untappd</a>"
2019,Tannic Cider - Dry,Angry Orchard,BitterSteve (2017),United States,🥉 Bronze,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2019,Tannic Cider - Medium,Sheppy's Cider,Sheppy's 200 Special Edition Cider,England,🥇 Gold,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
2019,Tannic Cider - Medium,Celtic Marches,Thundering Molly,England,🥈 Silver,0,1,0,1,2019,2019,1,Active,"<a href=""https://www.celticmarches.com/"">Website</a>","<a href=""https://www.facebook.com/celticmarchesbeverages/"">Facebook</a>","<a href=""https://www.instagram.com/celticmarches/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14163451376835523124"">Google</a>",,,"<a href=""https://untappd.com/brewery/45546"">Untappd</a>"
2019,Tannic Cider - Medium,Aspall,Peacock Apple Cider,England,🥉 Bronze,0,1,1,2,2015,2019,2,Active,"<a href=""https://www.aspall.co.uk/"">Website</a>","<a href=""https://www.facebook.com/AspallUK/"">Facebook</a>","<a href=""https://www.instagram.com/aspalluk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281573289882642327"">Google</a>",,,"<a href=""https://untappd.com/brewery/3468"">Untappd</a>"
