ID,Year,Category,Medalist,Product,Award,WID,Status,Region,Country,Region/Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
432,2021,Cider Spirits,Casería San Juan del Obispo,Salvador del Obispo,🏆 Premium,1608,Active,Asturias,Spain,Asturias,"<a href=""https://www.caseriasanjuandelobispo.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=13956526212503892929"">Google</a>",,"<a href=""https://untappd.com/w/caseria-san-juan-del-obispo/285141"">Untappd</a>"
433,2021,Cider Spirits,Tālava,Idun,🥇 Gold,2142,Active,Gulbene,Latvia,Latvia,"<a href=""https://www.talava.lv/"">Website</a>","<a href=""https://www.facebook.com/talavassidrs"">Facebook</a>","<a href=""https://www.instagram.com/talavas_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16414834196985036378"">Google</a>",,"<a href=""https://untappd.com/TalavasSidrs"">Untappd</a>"
434,2021,Cider Spirits,Maley,Whymper 1865,🥈 Silver,1517,Active,Aosta Valley,Italy,Italy,"<a href=""https://www.maleymontblanc.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=94166741695887894"">Google</a>",,"<a href=""https://untappd.com/brewery/29291"">Untappd</a>"
435,2021,Cider Spirits,Cidrerie Berri,Berroge,🥉 Bronze,1649,Active,Nouvelle-Aquitaine,France,Basque Country,"<a href=""https://txopinondo.fr/"">Website</a>","<a href=""https://www.facebook.com/txopinondo"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_berri_txopinondo/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14446292626809718341"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1118261-d2139433"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-txopinondo/215570"">Untappd</a>"
436,2021,Cider Spirits,Casería San Juan del Obispo,Alquitara del Obispo,🥉 Bronze,1608,Active,Asturias,Spain,Asturias,"<a href=""https://www.caseriasanjuandelobispo.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=13956526212503892929"">Google</a>",,"<a href=""https://untappd.com/w/caseria-san-juan-del-obispo/285141"">Untappd</a>"
437,2021,Flavored Cider,Jörg Geiger,SWO Cider,🏆 Premium,1322,Active,Baden-Württemberg,Germany,Germany,"<a href=""https://www.manufaktur-joerg-geiger.de/"">Website</a>","<a href=""https://www.facebook.com/manufakturjoerggeiger/"">Facebook</a>","<a href=""https://www.instagram.com/manufakturjoerggeiger/"">Instagram</a>","<a href=""https://maps.google.com/?cid=908271853334307402"">Google</a>",,"<a href=""https://untappd.com/w/manufaktur-jorg-geiger/270857"">Untappd</a>"
438,2021,Flavored Cider,Petritegi,Sagar Krash Limoi,🥇 Gold,1171,Active,Basque Country,Spain,Basque Country,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
439,2021,Flavored Cider,Sidra Viuda de Angelón,Angelón Llimón,🥈 Silver,1675,Active,Asturias,Spain,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
440,2021,Flavored Cider,Castelo Branco Cider,Chiron,🥉 Bronze,3107,Active,Faro,Portugal,Portugal,"<a href=""http://www.castelobrancocider.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066758822950"">Facebook</a>",,,,
441,2021,Flavored Cider,Urban Farm Fermentory,Blueberry,🥉 Bronze,658,Inactive,Maine,United States,United States,"<a href=""https://www.fermentory.com/"">Website</a>","<a href=""https://www.facebook.com/urbanfarmfermentory"">Facebook</a>","<a href=""https://www.instagram.com/fermentory/"">Instagram</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g40827-d4509600"">TripAdvisor</a>","<a href=""https://untappd.com/w/urban-farm-fermentory/10661"">Untappd</a>"
442,2021,Flavored Cider,Urban Farm Fermentory,Seaweed,🥉 Bronze,658,Inactive,Maine,United States,United States,"<a href=""https://www.fermentory.com/"">Website</a>","<a href=""https://www.facebook.com/urbanfarmfermentory"">Facebook</a>","<a href=""https://www.instagram.com/fermentory/"">Instagram</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g40827-d4509600"">TripAdvisor</a>","<a href=""https://untappd.com/w/urban-farm-fermentory/10661"">Untappd</a>"
443,2021,Flavored Cider,Petritegi,Sagar Krash Sagar,🥉 Bronze,1171,Active,Basque Country,Spain,Basque Country,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
444,2021,Aperitif Cider,Jörg Geiger,!Wehmut,🏆 Premium,1322,Active,Baden-Württemberg,Germany,Germany,"<a href=""https://www.manufaktur-joerg-geiger.de/"">Website</a>","<a href=""https://www.facebook.com/manufakturjoerggeiger/"">Facebook</a>","<a href=""https://www.instagram.com/manufakturjoerggeiger/"">Instagram</a>","<a href=""https://maps.google.com/?cid=908271853334307402"">Google</a>",,"<a href=""https://untappd.com/w/manufaktur-jorg-geiger/270857"">Untappd</a>"
445,2021,Aperitif Cider,Sidra Panizales,Viesk,🥇 Gold,1519,Active,Asturias,Spain,Asturias,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
446,2021,Fire Cider,Kuartango,Su Sagardoa,🏆 Premium,2747,Active,Basque Country,Spain,Basque Country,"<a href=""https://kuartangosagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/SidreKuartango/"">Facebook</a>","<a href=""https://www.instagram.com/sidrekuartango/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6181081338579081204"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g25546823-d25546810"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-kuartango/438568"">Untappd</a>"
