Producer,Department,🥇 Or,🥈 Argent,🥉 Bronze,Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Cidrerie Manoir du Kinkiz,Finistère,4,3,1,8,2017,2024,7,Active,https://www.kinkiz-terroir.bzh/,https://www.facebook.com/DomaineDuKinkiz/,,https://maps.google.com/?cid=1999207604560008916,https://www.tripadvisor.com/Attraction_Review-g187100-d7745799,https://untappd.com/brewery/19870,47.973904,-4.0549284,0
Cidrerie Des Terroirs,Morbihan,3,3,2,8,2019,2024,5,Active,,,,https://maps.google.com/?cid=1276600632339613858,,https://untappd.com/w/cidrerie-des-terroirs/72347,47.827291,-2.791703,0
Les Celliers Associés,Côtes-d'Armor,4,3,0,7,2018,2023,5,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,https://untappd.com/LesCelliersAssocis,48.506795,-1.953538,0
Cidrerie de Rozavern,Finistère,3,3,0,6,2022,2024,3,Active,https://www.rozavern.fr/,https://www.facebook.com/cidreriederozavern,https://www.instagram.com/cidrerierozavern,https://maps.google.com/?cid=2631934440861688338,https://www.tripadvisor.com/Attraction_Review-g1842069-d6157429,https://untappd.com/w/cidrerie-de-rozavern/357316,48.2502317,-4.3826303,0
Cidrerie Kerné,Finistère,4,1,0,5,2017,2024,4,Active,https://www.cidre-kerne.bzh/,https://www.facebook.com/cidrekerne/,https://www.instagram.com/cidrekerne/,https://maps.google.com/?cid=10998184529652347583,https://www.tripadvisor.com/Attraction_Review-g1200904-d9829595,https://untappd.com/w/cidrerie-kerne/49751,47.9574014,-4.3744346,0
Ferme Saint Charles,Loire-Atlantique,3,2,0,5,2019,2021,2,Active,https://www.fermesaintcharles.fr/,https://www.facebook.com/profile.php?id=100069349890721,https://www.instagram.com/ferme_saint_charles/,https://maps.google.com/?cid=3373440369955425792,,https://untappd.com/w/ferme-saint-charles/416358,47.5159166,-1.8820177,0
Val de la Chèvre,Ille-et-Vilaine,3,1,1,5,2019,2023,4,Active,https://www.cidre-tropee.com/,https://www.facebook.com/profile.php?id=100046412293517,,https://maps.google.com/?cid=3608898340704275469,,https://untappd.com/w/le-val-de-la-chevre/172156,48.1820624,-1.4915387,0
Le Verger de Kernivinen,Côtes-d'Armor,2,1,2,5,2021,2024,3,Active,http://www.cidre-fermier.com/,,,https://maps.google.com/?cid=4984251969580277806,,https://untappd.com/w/le-verger-de-kernivinen/412595,48.7922671,-3.4668211,0
Les Vergers de Kermabo,Morbihan,3,1,0,4,2018,2024,3,Active,https://www.cidre-fermier-morbihan.com/,https://www.facebook.com/vergersdekermabo,,,https://www.tripadvisor.com/Attraction_Review-g1200982-d12593344,https://untappd.com/w/les-vergers-de-kermabo/53393,47.7591971,-3.4958059,0
Des Bouteilles à l'Amère,Finistère,2,2,0,4,2019,2024,4,Active,https://www.desbouteillesalamere.bzh/,https://www.facebook.com/desbouteillesalamere/,https://www.instagram.com/desbouteillesalamere/,https://maps.google.com/?cid=3267304468269310183,https://www.tripadvisor.com/Attraction_Review-g1079425-d12726387,https://untappd.com/DesBouteillesalAmere,47.772159,-3.56129,0
