ID,Year,Category,Producer,Producer_Original,Department,Medal,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
45,2018,Cidre Artisanal Demi-Sec,Cidrerie Château Lézergué,Les Celliers de l’Odet,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
46,2018,Cidre Artisanal Demi-Sec,Distillerie des Menhirs,Distillerie des Menhirs,Finistère,🥉 Bronze,1182,Active,"<a href=""https://www.distillerie.bzh/"">Website</a>","<a href=""https://www.facebook.com/distillerie.bzh"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedesmenhirs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13168987804989415582"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-des-menhirs/91619"">Untappd</a>"
47,2018,Cidre de Grande Maison Brut,Loïc Raison,Cidrerie Loïc Raison,Ille-et-Vilaine,🥈 Argent,1369,Active,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,"<a href=""https://untappd.com/w/loic-raison/18640"">Untappd</a>"
48,2018,Cidre de Grande Maison Doux,Les Celliers Associés,Val de Rance,Côtes-d'Armor,🥈 Argent,1999,Active,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,"<a href=""https://untappd.com/LesCelliersAssocis"">Untappd</a>"
49,2018,Pommeau de Moins de 3 Ans,Cidrerie de Menez-Brug,Cidrerie de Menez Brug,Finistère,🥇 Or,1931,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
50,2018,Pommeau de Moins de 3 Ans,Cidrerie Melenig,Cidrerie Melenig,Finistère,🥈 Argent,1590,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
51,2018,Pommeau de Moins de 3 Ans,Distillerie du Gorvello,Distillerie du Gorvello,Morbihan,🥈 Argent,1595,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
52,2018,Pommeau de Plus de 3 Ans,Cidrerie de Menez-Brug,Cidrerie de Menez Brug,Finistère,🥇 Or,1931,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
53,2018,Pommeau de Plus de 3 Ans,Distillerie Warenghem,Distillerie Warenghem,Côtes-d'Armor,🥈 Argent,1592,Active,"<a href=""https://www.distillerie-warenghem.bzh/"">Website</a>","<a href=""https://www.facebook.com/warenghem/"">Facebook</a>",,,,
54,2018,Pommeau de Plus de 3 Ans,Au Pressoir du Bélon,Au Pressoir du Bélon,Finistère,🥉 Bronze,2712,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,
