ID,Year,Category,Award,Medalist,Medalist_Original,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
48,2022,---,🥈 Silver,Abavas,ABAVAS DARZI,Abavas Apple Cider Meadows,---,Latvia,2363,"<a href=""https://www.abavas.lv/"">Website</a>","<a href=""https://www.facebook.com/abavas.vinadaritava/"">Facebook</a>","<a href=""https://www.instagram.com/abavas_vini/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11387034393378720853"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608944-d23945082"">TripAdvisor</a>","<a href=""https://untappd.com/w/sia-abavas-da-rzi/153183"">Untappd</a>"
49,2022,---,🥈 Silver,Abavas,ABAVAS DARZI,ABAVAS Nordic Brut,---,Latvia,2363,"<a href=""https://www.abavas.lv/"">Website</a>","<a href=""https://www.facebook.com/abavas.vinadaritava/"">Facebook</a>","<a href=""https://www.instagram.com/abavas_vini/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11387034393378720853"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608944-d23945082"">TripAdvisor</a>","<a href=""https://untappd.com/w/sia-abavas-da-rzi/153183"">Untappd</a>"
50,2022,---,🥈 Silver,Abavas,ABAVAS DARZI,Rhubarb Sparkling Wine,---,Latvia,2363,"<a href=""https://www.abavas.lv/"">Website</a>","<a href=""https://www.facebook.com/abavas.vinadaritava/"">Facebook</a>","<a href=""https://www.instagram.com/abavas_vini/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11387034393378720853"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608944-d23945082"">TripAdvisor</a>","<a href=""https://untappd.com/w/sia-abavas-da-rzi/153183"">Untappd</a>"
51,2022,---,🥈 Silver,Aga Sideri,Aga sideri,Fatlagra 2019,---,Norway,2605,"<a href=""https://www.agasideri.no/"">Website</a>","<a href=""https://www.facebook.com/agasideri/"">Facebook</a>","<a href=""https://www.instagram.com/agasideri/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13763004362793346500"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2347995-d18177720"">TripAdvisor</a>","<a href=""https://untappd.com/w/aga-sideri/405076"">Untappd</a>"
52,2022,---,🥈 Silver,Åkre Gård,Åkre AS,Edel is-sider,---,Norway,2544,"<a href=""https://aakre-gard.no/"">Website</a>","<a href=""https://www.facebook.com/EdelSider/"">Facebook</a>","<a href=""https://www.instagram.com/edelsider"">Instagram</a>","<a href=""https://maps.google.com/?cid=10200668651455703399"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g21171125-d21170815"">TripAdvisor</a>","<a href=""https://untappd.com/Aakre_Gard"">Untappd</a>"
53,2022,---,🥈 Silver,Åkre Gård,Åkre AS,EDEL Premium (12),---,Norway,2544,"<a href=""https://aakre-gard.no/"">Website</a>","<a href=""https://www.facebook.com/EdelSider/"">Facebook</a>","<a href=""https://www.instagram.com/edelsider"">Instagram</a>","<a href=""https://maps.google.com/?cid=10200668651455703399"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g21171125-d21170815"">TripAdvisor</a>","<a href=""https://untappd.com/Aakre_Gard"">Untappd</a>"
54,2022,---,🥈 Silver,Åkre Gård,Åkre AS,EDEL Sider Metode Tradisjonell,---,Norway,2544,"<a href=""https://aakre-gard.no/"">Website</a>","<a href=""https://www.facebook.com/EdelSider/"">Facebook</a>","<a href=""https://www.instagram.com/edelsider"">Instagram</a>","<a href=""https://maps.google.com/?cid=10200668651455703399"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g21171125-d21170815"">TripAdvisor</a>","<a href=""https://untappd.com/Aakre_Gard"">Untappd</a>"
55,2022,---,🥈 Silver,Alde Sider,Alde AS,Alde Sider,---,Norway,2546,"<a href=""https://www.aldesider.no/"">Website</a>","<a href=""https://www.facebook.com/aldesider"">Facebook</a>","<a href=""https://www.instagram.com/aldesider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7838999053969928967"">Google</a>",,,"<a href=""https://untappd.com/Alde_hardanger"">Untappd</a>"
56,2022,---,🥈 Silver,Alde Sider,Alde AS,Alde Svans,---,Norway,2546,"<a href=""https://www.aldesider.no/"">Website</a>","<a href=""https://www.facebook.com/aldesider"">Facebook</a>","<a href=""https://www.instagram.com/aldesider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7838999053969928967"">Google</a>",,,"<a href=""https://untappd.com/Alde_hardanger"">Untappd</a>"
57,2022,---,🥈 Silver,Andersen Winery,Andersen Winery,Sigrid Ӕble Brut,---,Denmark,3001,"<a href=""https://andersenwinery.dk/"">Website</a>","<a href=""https://www.facebook.com/andersenwinery"">Facebook</a>","<a href=""https://www.instagram.com/andersenwinery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1091487036715359602"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1699896-d20578301"">TripAdvisor</a>","<a href=""https://untappd.com/w/andersen-winery/508619"">Untappd</a>"
