WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
3599,Cydr Jabłkowy,Poland,1,2,1,4,2017,2019,2,Inactive,,https://www.facebook.com/cydrjablkowy/,,,,,https://untappd.com/w/krzysztof-winnicki/393819,52.584127,22.0824689,1
1958,Killahora Orchards,Ireland,1,2,1,4,2023,2023,1,Active,https://www.killahoraorchards.ie/,https://www.facebook.com/killahora/,https://www.instagram.com/killahora/,,,,https://untappd.com/w/killahora-orchards/437436,51.9155457,-8.3104049,0
972,Son of Man,United States,1,2,1,4,2021,2023,2,Active,https://www.sonofman.co/,,https://www.instagram.com/sonofman.co/,,,,https://untappd.com/w/son-of-man-sagardo/428029,45.68249,-121.8628333,0
89,ANXO Cider,United States,1,1,2,4,2023,2023,1,Active,https://store.anxodc.com/,https://www.facebook.com/ANXOcider,https://www.instagram.com/anxodistrict/,https://maps.google.com/?cid=9806483452569861957,https://www.yelp.com/biz/anxo-cidery-and-tasting-room-washington,https://www.tripadvisor.com/Restaurant_Review-g28970-d18923653,https://untappd.com/ANXOCidery,38.956577,-77.022874,0
1171,Petritegi,Basque Country,1,1,2,4,2017,2023,3,Active,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.yelp.com/biz/petritegi-astigarraga,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639,43.290406,-1.941229,0
1486,Sidra Ribela,Galicia,1,0,3,4,2017,2019,2,Active,https://ribela.es/,https://www.facebook.com/profile.php?id=100057701497775,,https://maps.google.com/?cid=4872815371612917435,,,https://untappd.com/jesusarmenteros,42.6343941,-8.4172763,0
2723,Het Hamerstuk,Netherlands,0,4,0,4,2023,2023,1,Active,https://hethamerstuk.nl/,https://www.facebook.com/HetHamerstuk/,https://www.instagram.com/hethamerstuk,https://maps.google.com/?cid=11584128023568770529,,,https://untappd.com/Hamerstuk,51.8760148,5.872176,0
2698,Ramborn Cider Co.,Luxembourg,0,4,0,4,2019,2019,1,Active,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn,49.7599024,6.5135119,0
2396,Kühbrein Most,Austria,0,3,1,4,2023,2023,1,Active,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,,https://untappd.com/w/k-hbrein/425089,47.2673244,14.7332229,0
1615,Izeta,Basque Country,0,2,2,4,2017,2021,3,Active,https://www.izeta.es/,https://www.facebook.com/IzetaSagardotegia,https://www.instagram.com/izetasagardotegia/,https://maps.google.com/?cid=5193661031886461877,https://www.yelp.com/map/izeta-sidreria-aia,https://www.tripadvisor.com/Restaurant_Review-g897148-d4022936,https://untappd.com/w/izeta-goikoa/226558,43.2610162,-2.1854407,0
