WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
1472,Sidra Cortina,Asturias,0,1,0,1,2017,2017,1,Active,"<a href=""https://www.sidracortina.com/"">Website</a>","<a href=""https://www.facebook.com/sidracortina/"">Facebook</a>","<a href=""https://instagram.com/sidracortina"">Instagram</a>","<a href=""https://maps.google.com/?cid=14248814769091122504"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g19842666-d985244"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidra-cortina-coro/50162"">Untappd</a>"
3597,Sidra M. Norniella,Asturias,0,1,0,1,2017,2017,1,Active,"<a href=""https://www.macrile.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100010091055351"">Facebook</a>","<a href=""https://www.instagram.com/sidra_m.norniella/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12557897810508481900"">Google</a>",,,"<a href=""https://untappd.com/w/macrile/188803"">Untappd</a>"
1442,Willie Smith's,Australia,0,1,0,1,2017,2017,1,Active,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.yelp.com/biz/willie-smith-s-apple-shed-grove"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
1168,Bereziartua,Basque Country,0,0,1,1,2017,2017,1,Active,"<a href=""http://www.bereziartuasagardoa.com/"">Website</a>","<a href=""https://www.facebook.com/Bereziartua"">Facebook</a>","<a href=""https://www.instagram.com/SBereziartua/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4287840169739792051"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7553"">Untappd</a>"
2757,Boneca de Canudo,Portugal,0,0,1,1,2023,2023,1,Active,"<a href=""https://www.bonecadecanudo.com/"">Website</a>","<a href=""https://www.facebook.com/bonecadecanudo/"">Facebook</a>","<a href=""https://www.instagram.com/bonecadecanudo/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14850808685027168712"">Google</a>",,,"<a href=""https://untappd.com/w/casa-do-caramanchao/542700"">Untappd</a>"
3547,Buschenschank Lippitz,Austria,0,0,1,1,2021,2021,1,Active,"<a href=""https://www.facebook.com/Buschenschank"">Website</a>",,"<a href=""https://www.instagram.com/mostyrium/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5239535978282621551"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2642395-d6688099"">TripAdvisor</a>",
1627,Calonge,Basque Country,0,0,1,1,2023,2023,1,Active,"<a href=""https://www.calongesagardotegia.es/"">Website</a>","<a href=""https://www.facebook.com/calongesagardotegia/"">Facebook</a>","<a href=""https://www.instagram.com/calongesagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17297324039807359448"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2578784-d3601648"">TripAdvisor</a>","<a href=""https://untappd.com/w/calonge-sagardotegia/69520"">Untappd</a>"
2758,Cider Bohemia,Czechia,0,0,1,1,2023,2023,1,Active,"<a href=""https://ciderbohemia.cz/"">Website</a>",,"<a href=""https://www.instagram.com/ciderbohemia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7807386085617641275"">Google</a>",,,"<a href=""https://untappd.com/w/cider-bohemia/314477"">Untappd</a>"
3238,Gaztañaga,Basque Country,0,0,1,1,2017,2017,1,Active,"<a href=""http://sidreriagaztanaga.com/"">Website</a>","<a href=""https://www.facebook.com/sidreriagaztanaga/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7381182771810577212"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g4084952-d4080010"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-gaztanaga/232470"">Untappd</a>"
2736,Iessel Cider,Netherlands,0,0,1,1,2019,2019,1,Active,"<a href=""https://www.iesselcider.nl/"">Website</a>","<a href=""https://www.facebook.com/iesselcider/"">Facebook</a>","<a href=""https://www.instagram.com/iessel_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10819175046461159669"">Google</a>",,,"<a href=""https://untappd.com/IESSEL_Cider"">Untappd</a>"
2766,Lofthus Ekspedisjon,Norway,0,0,1,1,2023,2023,1,Active,"<a href=""https://lofthusekspedisjon.no/"">Website</a>","<a href=""https://www.facebook.com/ekspedisjonlofthus/"">Facebook</a>","<a href=""https://www.instagram.com/lofthus_ekspedisjon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10108744972037075215"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1188596-d23540819"">TripAdvisor</a>","<a href=""https://untappd.com/EkspedisjonenBryggeri"">Untappd</a>"
3631,Manufaktura Cydru,Poland,0,0,1,1,2017,2017,1,Inactive,,"<a href=""https://www.facebook.com/manufakturacydru"">Facebook</a>","<a href=""https://www.instagram.com/manufakturacydru/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/manufaktura-cydru/358474"">Untappd</a>"
2767,Matriarca,Uruguay,0,0,1,1,2023,2023,1,Active,"<a href=""https://www.matriarca.com.uy/"">Website</a>","<a href=""https://www.facebook.com/Matriarcasidra/"">Facebook</a>","<a href=""https://www.instagram.com/sidramatriarca/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/sidra-matriarca/463811"">Untappd</a>"
2750,Mizpiradi,Basque Country,0,0,1,1,2023,2023,1,Active,"<a href=""https://www.mizpiradi.eus/"">Website</a>","<a href=""https://www.facebook.com/mizpiradisagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/mizpiradi_sagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8356736279020353612"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g4084952-d7743443"">TripAdvisor</a>","<a href=""https://untappd.com/w/mizpiradi-sagardotegia/553735"">Untappd</a>"
2765,Mostheuriger Reikersdorfer,Austria,0,0,1,1,2023,2023,1,Active,"<a href=""https://www.mosti.at/"">Website</a>","<a href=""https://www.facebook.com/mosti.at"">Facebook</a>","<a href=""https://www.instagram.com/familiereikersdorfer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7951746744614472989"">Google</a>","<a href=""https://www.yelp.com/biz/reikersdorfer-neuhofen-an-der-ybbs"">Yelp</a>",,
2445,Nailsea Cider,England,0,0,1,1,2023,2023,1,Active,"<a href=""https://www.nailseacider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/NailseaCider"">Facebook</a>","<a href=""https://www.instagram.com/nailseacider.co.uk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5491378351404156001"">Google</a>",,,"<a href=""https://untappd.com/w/nailsea-cider/461748"">Untappd</a>"
2513,Rufino,Basque Country,0,0,1,1,2017,2017,1,Active,"<a href=""https://www.rufinosagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/RufinoSagardotegia/"">Facebook</a>","<a href=""https://www.instagram.com/rufinosagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15885220870479223557"">Google</a>",,,"<a href=""https://untappd.com/w/rufino/379778"">Untappd</a>"
2003,Sidrería Irigoien Herrero,Basque Country,0,0,1,1,2017,2017,1,Active,"<a href=""https://www.sidreriairigoien.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7008206708852121852"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d5489212"">TripAdvisor</a>","<a href=""https://untappd.com/w/sideria-irigoien-herrero/202851"">Untappd</a>"
3625,St. Anton,Russia,0,0,1,1,2017,2017,1,Active,"<a href=""http://www.yablochny-spas.ru/"">Website</a>","<a href=""https://www.facebook.com/ru.st.anton"">Facebook</a>","<a href=""https://www.instagram.com/cider_st.anton"">Instagram</a>","<a href=""https://maps.google.com/?cid=992035969626414458"">Google</a>",,,"<a href=""https://untappd.com/StAntonBrewery"">Untappd</a>"
2492,The Drunken Pharmacist,Portugal,0,0,1,1,2023,2023,1,Active,,"<a href=""https://www.facebook.com/profile.php?id=100093795090507"">Facebook</a>","<a href=""https://www.instagram.com/thedrunkenpharmacist_/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/the-drunken-pharmacist/543354"">Untappd</a>"
3109,Trois-Lacs Ciders,Switzerland,0,0,1,1,2021,2021,1,Active,"<a href=""https://trois-lacs-ciders.webflow.io/"">Website</a>",,"<a href=""https://www.instagram.com/trois_lacs_ciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11057921790831268912"">Google</a>",,,"<a href=""https://untappd.com/w/trois-lacs-ciders/502801"">Untappd</a>"
,Total,,168,253,247,668,,,,,,,,,,,
