ID,WID,Year,Style,Medalist,Entry,Region,Award,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Status
80,688,2016,Modern Perry,WildCraft Cider Works,Elderberry Perry,Oregon,🥉 Bronze,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780,Active
81,428,2016,Modern Sweet Cider,Montana CiderWorks,Darby Pub Cider,Montana,🥇 Gold,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
82,570,2016,Modern Sweet Cider,Snowdrift Cider Co.,Red,Washington,🥉 Bronze,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,Active
83,846,2016,Modern Sweet Cider,Twisted Hills Craft Cider,Calville’s Winter,British Columbia,🥉 Bronze,https://www.twistedhills.ca/,https://www.facebook.com/twistedhillscraftcider/,https://www.instagram.com/twistedhillscraftcider,https://maps.google.com/?cid=4618450840438418243,https://www.yelp.com/biz/twisted-hills-craft-cider-cawston,https://www.tripadvisor.com/Attraction_Review-g1059482-d8179333,https://untappd.com/w/twisted-hills-craft-cider/189085,Active
84,92,2016,Spiced/Herbed Cider,Apple Outlaw,Ginger Bite,Oregon,🥈 Silver,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265,Active
85,337,2016,Spiced/Herbed Cider,Hopworks Urban Brewery,Professor Plum,Oregon,🥉 Bronze,,,,,,,,Inactive
86,257,2016,Wood/Oaked Cider,Elk Horn Brewery & Ciderhouse,Bourbon Barrel Wild Cider,Oregon,🥇 Gold,http://www.elkhornbrewery.com/,https://www.facebook.com/elkhornbrewery/,https://www.instagram.com/elk_horn_brewery/,https://maps.google.com/?cid=3806213339852533020,https://www.yelp.com/biz/elk-horn-brewery-eugene-7,https://www.tripadvisor.com/Restaurant_Review-g51862-d7099011,https://untappd.com/w/elk-horn-brewery-and-ciderhouse/153381,Active
87,92,2016,Wood/Oaked Cider,Apple Outlaw,Heritage Rye Barrel Aged,Oregon,🥈 Silver,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265,Active
88,276,2016,Wood/Oaked Cider,Finnriver Farm & Cidery,Oak and Apple,Washington,🥉 Bronze,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
89,67,2017,Modern Dry Cider,2 Towns Ciderhouse,Traditions 2015 Riverwood,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
90,676,2017,Heritage Dry Cider,Western Cider,McIntosh,Montana,🥇 Gold,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334,Active
91,428,2017,English Sweet Cider,Montana CiderWorks,North Fork Traditional,Montana,🥇 Gold,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
