glintcap,new_cg_url
/subterranean-cider/,https://ciderguide.com/glintcap/medalists/subterranean-cider/
/suttons-bay-ciders/,https://ciderguide.com/glintcap/medalists/suttons-bay-ciders/
/tandem-ciders/,https://ciderguide.com/glintcap/medalists/tandem-ciders/
/texas-corners-brewing-co/,https://ciderguide.com/glintcap/medalists/texas-corners-brewing-company/
/thornapple-brewing-company/,https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/
/top-of-the-rock-ciders/,https://ciderguide.com/glintcap/medalists/top-of-the-rock-ciders/
/townline-ciderworks/,https://ciderguide.com/glintcap/medalists/townline-ciderworks/
/two-k-farms/,https://ciderguide.com/glintcap/medalists/two-k-farms/
/uncle-johns/,https://ciderguide.com/glintcap/medalists/uncle-johns/
/vander-mill/,https://ciderguide.com/glintcap/medalists/vander-mill/
/virtue-cider/,https://ciderguide.com/glintcap/medalists/virtue-cider/
/westside-ciderwerks/,https://ciderguide.com/glintcap/medalists/westside-ciderwerks/
/westview-orchards-winery/,https://ciderguide.com/glintcap/medalists/westview-orchards-winery/
/winery-at-black-star-farms/,https://ciderguide.com/glintcap/medalists/winery-at-black-star-farms/
/duluth-cider/,https://ciderguide.com/glintcap/medalists/duluth-cider/
/falconer-vineyards/,https://ciderguide.com/glintcap/medalists/falconer-vineyards/
/lionheart-cider/,#N/A
/milk-honey-ciders/,https://ciderguide.com/glintcap/medalists/milk-honey-ciders/
/minneapolis-cider-co/,https://ciderguide.com/glintcap/medalists/minneapolis-cider-company/
/number-12-cider,https://ciderguide.com/glintcap/medalists/number-12-cider/
/sapsucker-farms/,https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/
/thors-hard-cider/,https://ciderguide.com/glintcap/medalists/thors-hard-cider/
/urban-forage-winery-and-cider-house/,https://ciderguide.com/glintcap/medalists/urban-forage-winery-cider-house/
/wild-state-cider/,https://ciderguide.com/glintcap/medalists/wild-state-cider/
/woodlore-cider/,https://ciderguide.com/glintcap/medalists/woodlore-cider-co/
/wyndfall-cyder/,https://ciderguide.com/glintcap/medalists/wyndfall-cyder/
/backwater/,https://ciderguide.com/glintcap/medalists/mississippi-ale-house/
/black-bear-cider-co/,https://ciderguide.com/glintcap/medalists/black-bear-cider-co/
/brick-river-cider-co/,https://ciderguide.com/glintcap/medalists/brick-river-cider/
/waves-cider-company/,https://ciderguide.com/glintcap/medalists/waves-cider-co/
/montana-ciderworks/,https://ciderguide.com/glintcap/medalists/montana-ciderworks/
/western-cider/,https://ciderguide.com/glintcap/medalists/western-cider/
/glacial-till-cider/,https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/
/papa-moon-vineyards-winery/,https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/
