Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,URL,Latitude,Longitude
2023,Blue Toad Hard Cider,0,0,0,2,2,https://ciderguide.com/glintcap/medalists/blue-toad-hard-cider/,43.091407,-77.618983
2023,Cidrerie Compton,0,0,0,2,2,https://ciderguide.com/glintcap/medalists/cidrerie-compton/,45.258375,-71.8262323
2023,Northwood Cider Co.,0,0,0,2,2,https://ciderguide.com/glintcap/medalists/northwood-cider-co/,39.1584343,-84.458172
2023,White Winter Winery,0,0,0,2,2,https://ciderguide.com/glintcap/medalists/white-winter-winery/,46.565581,-91.418129
2023,Montana CiderWorks,1,0,0,0,1,https://ciderguide.com/glintcap/medalists/montana-ciderworks/,45.965401,-114.11709
2023,Buskey Cider,0,1,0,0,1,https://ciderguide.com/glintcap/medalists/buskey-cider/,37.566063,-77.46914
2023,Calvados Pierre Huet,0,1,0,0,1,https://ciderguide.com/glintcap/medalists/calvados-pierre-huet/,49.1476519,0.0462976
2023,Kuhnhenn Brewing Co.,0,1,0,0,1,https://ciderguide.com/glintcap/medalists/kuhnhenn-brewing-co/,42.527768,-83.046765
2023,Maiden Rock Winery & Cidery,0,1,0,0,1,https://ciderguide.com/glintcap/medalists/maiden-rock-winery-cidery/,44.515238,-92.268117
2023,Malner,0,1,0,0,1,https://ciderguide.com/glintcap/medalists/malner/,45.5749654,13.9366407
2023,Cornish Cider Company,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/cornish-cider-company/,43.7971541,-70.7995635
2023,Docendo Discitur,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/docendo-discitur/,45.7121378,7.2154238
2023,Farmgate Cider,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/farmgate-cider/,45.4138013,-76.2414158
2023,Geo Cider,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/geo-cider/,49.7240532,-123.1542449
2023,Good Bones Ciderhouse,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/good-bones-ciderhouse/,44.6279156,-85.9957727
2023,Great Lakes Farms,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/great-lakes-farms/,42.6911428,-81.2335877
2023,Institut Agricole Régional,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/institut-agricole-regional/,45.7369231,7.3000211
2023,Llagares Valverán,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/llagares-valveran/,43.4052509,-5.526005
2023,Market Garden Brewery,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/market-garden-brewery/,41.4850769,-81.7034306
2023,Offset Ciderworks,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/offset-ciderworks/,47.8028091,-122.3228434
2023,Riley's Cidery,0,0,1,0,1,https://ciderguide.com/glintcap/medalists/rileys-cidery/,49.3624343,-123.4012374
