ID,Year,Category,Medalist,Region,Medal,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
17,2017,Cidre Fermier Demi-Sec ,Ferme des Noës,Normandy,🥈 Argent,2887,Active,https://www.fermedesnoes.com/,,https://www.instagram.com/fermedesnoes/,https://maps.google.com/?cid=16067236232754040277,,https://untappd.com/w/ferme-des-no-s/72679,49.1301268,1.3281105
67,2017,Cidre Fermier Demi-Sec ,Les Vergers du Quesnay,Normandy,🥈 Argent,3370,Active,https://www.lesvergersduquesnay.fr/,https://www.facebook.com/profile.php?id=100058435991351,https://www.instagram.com/les_vergers_du_quesnay/,https://maps.google.com/?cid=15904214834922492181,,https://untappd.com/w/les-vergers-du-quesnay/228234,49.5329228,1.0095949
21,2017,Cidre Fermier Demi-Sec ,Domaine des Hauts-Vents,Normandy,🥉 Bronze,2889,Active,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064,49.3011577,0.9456953
65,2017,Cidre Fermier Demi-Sec ,Le Clos des Citots,Normandy,🥉 Bronze,3102,Active,https://www.leclosdescitots.fr/,https://www.facebook.com/profile.php?id=100066990398769,,https://maps.google.com/?cid=3330784351320305206,,https://untappd.com/w/le-clos-des-citots-gerard-lenormand/87074,49.4573681,0.8128167
49,2017,Cidre Fermier Doux ,Ferme Saint Charles,Pays de la Loire,🥇 Or,2883,Active,https://www.fermesaintcharles.fr/,https://www.facebook.com/profile.php?id=100069349890721,https://www.instagram.com/ferme_saint_charles/,https://maps.google.com/?cid=3373440369955425792,,https://untappd.com/w/ferme-saint-charles/416358,47.5159166,-1.8820177
11,2017,Cidre Fermier Doux ,Cidrerie Benoit,Brittany,🥈 Argent,2884,Active,https://www.cidreriebenoit.fr/,https://www.facebook.com/CidrerieBenoit/,,https://maps.google.com/?cid=2837012515774011484,,https://untappd.com/w/cidrerie-benoit/548797,48.5308501,-2.5301834
19,2017,Cidre Fermier Doux ,Domaine des Hauts-Vents,Normandy,🥈 Argent,2889,Active,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064,49.3011577,0.9456953
44,2017,Cidre Fermier Doux ,La Belle Vilaine,Brittany,🥈 Argent,2930,Active,,,,https://maps.google.com/?cid=5696528707638308410,,https://untappd.com/w/la-belle-vilaine/353880,48.1707864,-1.8277124
45,2017,Cidre Fermier Doux ,Cidre de Brocéliande,Brittany,🥉 Bronze,2893,Active,https://cidre-breton.com/,https://www.facebook.com/profile.php?id=100064718610464,https://www.instagram.com/cidreriedebroceliande/,https://maps.google.com/?cid=531489837427288496,https://www.tripadvisor.com/Attraction_Review-g12449841-d16844210,https://untappd.com/w/cidre-du-pays-de-broceliande/158895,48.101293,-2.2516327
51,2017,Cidre Fermier Doux ,Ferme du Theil,Pays de la Loire,🥉 Bronze,2879,Active,https://www.fermedutheil.com/,https://www.facebook.com/fermedutheil,https://www.instagram.com/fermedutheil/,https://maps.google.com/?cid=11988918544771126641,,https://untappd.com/w/gaec-rouland-ferme-du-theli/138309,48.159845,-0.826714
