WID,Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
1420,Kellybrook Winery,Victoria,---,1,5,6,2012,2017,3,Active,Australia,https://www.kellybrookwinery.com.au/,https://www.facebook.com/kellybrookwinery,https://www.instagram.com/kellybrookwinery,https://maps.google.com/?cid=11638840488142948775,https://www.yelp.com/biz/kellybrook-winery-wonga-park-3,https://www.tripadvisor.com/Attraction_Review-g1982951-d21063415,https://untappd.com/w/kellybrook-winery/306274,-37.7252514,145.2789473,0
3448,Lion,New South Wales,---,1,5,6,2014,2018,4,Active,Australia,https://www.lionco.com/,,,,,,,-33.8701837,151.2063669,0
3190,Sutton's Juice Factory,Queensland,---,1,5,6,2015,2023,6,Active,Australia,https://suttonsfarm.com.au/,https://www.facebook.com/suttonsjuiceandcider/,https://www.instagram.com/suttonsfarm/,https://maps.google.com/?cid=17202902084953727843,,https://www.tripadvisor.com/Attraction_Review-g3666083-d1743635,https://untappd.com/w/suttons-farm/169154,-28.5500567,151.9523766,0
3195,Kaiju! Beer,Victoria,---,---,6,6,2015,2023,5,Active,Australia,https://kaijubeer.com.au/,https://www.facebook.com/KaijuBeer.au,https://www.instagram.com/kaijubeer,https://maps.google.com/?cid=487547657947015054,,https://www.tripadvisor.com/Restaurant_Review-g4379937-d26699553,https://untappd.com/SouthEastBrewingCompanyPtyLtd,-37.9109742,145.1075402,0
2817,Cester Camillo,Veneto,2,1,2,5,2017,2023,5,Active,Italy,https://cestercamillo.it/,https://www.facebook.com/cestercamillo/,https://www.instagram.com/cestercamillo,https://maps.google.com/?cid=8941056702037722200,,,https://untappd.com/w/cester-camillo/311065,45.8126934,12.2322108,0
1370,Cidres la Pommeraie,Normandy,1,3,1,5,2012,2013,2,Inactive,France,,,,,,,,48.47177,-0.1263749,1
3188,Ninch Cider,Tasmania,1,3,1,5,2019,2023,3,Active,Australia,,,https://www.instagram.com/ninchcider/,https://maps.google.com/?cid=10134826457369794124,,,,-43.098027,147.7436948,0
3175,Fils de Pomme,Île-de-France,1,1,3,5,2018,2019,2,Active,France,https://fils-de-pomme.com/,https://www.facebook.com/filsdepomme,https://www.instagram.com/filsdepomme/,https://maps.google.com/?cid=8093403779791398976,,,https://untappd.com/w/fils-de-pa-mme/335627,48.8707036,2.3440637,0
3419,Magners,Tipperary,1,1,3,5,2011,2018,4,Active,Ireland,https://magners.co.uk/,https://www.facebook.com/magnerscider,https://www.instagram.com/magnersuk,https://maps.google.com/?cid=13030775149028298606,,,https://untappd.com/MagnersCider,52.3618983,-7.6479971,0
2854,Funk Drinks Co.,Western Australia,---,4,1,5,2017,2024,7,Active,Australia,https://funkdrinks.co/,https://www.facebook.com/funkdrinksco,https://www.instagram.com/funkdrinksco/,https://maps.google.com/?cid=12976653066917509642,,,https://untappd.com/FunkCider,-31.8781416,115.9686002,0
2876,Trattore Cider,Victoria,---,3,2,5,2019,2022,3,Active,Australia,https://trattore.com.au/,,https://www.instagram.com/trattorecider/,https://maps.google.com/?cid=144355748988170218,,https://www.tripadvisor.com/Attraction_Review-g6888459-d23858854,https://untappd.com/w/trattore/470815,-38.047316,145.4127164,0
2857,Gurneys Cider,Victoria,---,2,3,5,2023,2024,2,Active,Australia,https://gurneyscider.com.au/,https://www.facebook.com/gurneyscider,https://www.instagram.com/gurneyscidery/,https://maps.google.com/?cid=17296225831182939561,,https://www.tripadvisor.com/Attraction_Review-g552172-d15180819,https://untappd.com/GurneysCider,-38.667425,146.1843654,0
2864,Monkey Rock Winery & Cider,Western Australia,---,2,3,5,2023,2023,1,Active,Australia,https://www.monkeyrockwinery.com.au/,https://www.facebook.com/monkeyrockwinerydenmarkWA,https://www.instagram.com/monkeyrockwineryandcider/,https://maps.google.com/?cid=4216191327395483874,,https://www.tripadvisor.com/Attraction_Review-g488338-d18942597,https://untappd.com/w/monkey-rock-cider/488303,-34.9965582,117.2639961,0
3398,Pure Peninsula Honey,Victoria,---,2,3,5,2017,2024,3,Active,Australia,https://purepeninsulahoney.com.au/,https://www.facebook.com/purepeninsulahoney,https://www.instagram.com/purepeninsulahoney/,https://maps.google.com/?cid=2932326746558972212,,https://www.tripadvisor.com/Attraction_Review-g1773630-d8382184,https://untappd.com/w/pure-peninsula-honey/171274,-38.2395277,145.1052554,0
2878,Yarra Valley Cider,Victoria,---,2,3,5,2013,2019,4,Active,Australia,http://www.yarravalleycider.com.au/,https://www.facebook.com/YarraValleyCider/,https://www.instagram.com/yarravalleycider/,,,,https://untappd.com/w/yarra-valley-cider/57524,-38.0003679,145.3415665,0
2867,Old Twelfth Cider,Tasmania,---,1,4,5,2021,2022,2,Active,Australia,,,https://www.instagram.com/oldtwelfth/,,,,https://untappd.com/w/old-twelfth-cider/500737,-43.2072438,147.2529691,0
1147,Redwood Cider Co.,Tasman,---,1,4,5,2011,2018,5,Active,New Zealand,https://www.db.co.nz/,,,https://maps.google.com/?cid=6996062561310556831,,,https://untappd.com/w/redwood-cider-co/184117,-41.3018135,173.074386,0
3413,Surges Bay Orchard,Tasmania,---,1,4,5,2018,2019,2,Inactive,Australia,,,,,,,,-43.2244877,146.9834133,1
3406,Monteith's Brewing Co.,West Coast,---,---,5,5,2013,2018,3,Active,New Zealand,https://www.thebrewery.co.nz/,https://www.facebook.com/monteithsbrewery,https://www.instagram.com/monteithsbrewery1868,https://maps.google.com/?cid=13339274588774573493,https://www.yelp.com/biz/monteiths-brewing-co-greymouth,https://www.tripadvisor.com/Attraction_Review-g255372-d1007467,https://untappd.com/MonteithsBrewingCo,-42.4539488,171.2067428,0
3197,NewLeaf Orchard,Western Australia,1,---,3,4,2023,2024,2,Active,Australia,https://newleaforchard.com.au/,https://www.facebook.com/wildbeyondcider,,,,,,-34.3188398,116.1623223,0
